"","PROVIDER_NUMBER","HOSPITAL","TACMIV31"
"819",110064,"""MEDICAL CENTER, THE""",1.690861137
"820",110069,"HOUSTON MEDICAL CENTER",1.338992714
"821",110071,"APPLING HOSPITAL",1.152714752
"822",110073,"DORMINY MEDICAL CENTER",1.073119511
"823",110074,"ATHENS REGIONAL MEDICAL CENTER",1.649720368
"824",110075,"EAST GEORGIA REGIONAL MEDICAL CENTER",1.38802176
"825",110076,"DEKALB MEDICAL CENTER",1.546713353
"826",110078,"EMORY UNIVERSITY HOSPITAL MIDTOWN",2.205177277
"827",110079,"GRADY MEMORIAL HOSPITAL",1.628819212
"828",110082,"""SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC""",1.998070154
"829",110083,"PIEDMONT HOSPITAL",2.244167871
"830",110086,"WASHINGTON COUNTY REGIONAL MEDICAL CENTER",1.26901657
"831",110087,"GWINNETT MEDICAL CENTER",1.6954966
"832",110089,"COFFEE REGIONAL MEDICAL CENTER",1.140563594
"833",110091,"ROCKDALE MEDICAL CENTER",1.4013644
"834",110092,"DODGE COUNTY HOSPITAL",1.142497668
"835",110095,"TIFT REGIONAL MEDICAL CENTER",1.572832853
"836",110100,"JEFFERSON HOSPITAL",0.966590959
"837",110101,"MEMORIAL HOSPITAL OF ADEL INC",1.107795773
"838",110104,"CRISP REGIONAL HOSPITAL",1.193648301
"839",110105,"COLQUITT REGIONAL MEDICAL CENTER",1.449186074
"840",110107,"MEDICAL CENTER OF CENTRAL GEORGIA",1.896844315
"841",110109,"EMANUEL MEDICAL CENTER",1.024164154
"842",110111,"MCDUFFIE REGIONAL MEDICAL CENTER",1.350928392
"843",110112,"BERRIEN COUNTY HOSPITAL",1.000327865
"844",110113,"BURKE MEDICAL CENTER",1.011656587
"845",110115,"ATLANTA MEDICAL CENTER",1.84062106
"846",110121,"GRADY GENERAL HOSPITAL",1.084266514
"847",110122,"SOUTH GEORGIA MEDICAL CENTER",1.586876131
"848",110124,"WAYNE MEMORIAL HOSPITAL",1.115224044
"849",110125,"FAIRVIEW PARK HOSPITAL",1.292609098
"850",110128,"MEADOWS REGIONAL MEDICAL CENTER INC",1.314974431
"851",110129,"""ST FRANCIS HOSPITAL, INC""",1.568944385
"852",110130,"IRWIN COUNTY HOSPITAL",0.970423646
"853",110132,"MEMORIAL HOSPITAL AND MANOR",1.056101255
"854",110135,"TAYLOR REGIONAL HOSPITAL",1.347815867
"855",110142,"EVANS MEMORIAL HOSPITAL",1.150703546
"856",110143,"WELLSTAR COBB HOSPITAL",1.586542665
"857",110146,"SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS",1.06166068
"858",110150,"OCONEE REGIONAL MEDICAL CENTER",1.412498786
"859",110153,"PERRY HOSPITAL",1.11960901
"860",110161,"NORTHSIDE HOSPITAL",1.915118647
"861",110163,"PALMYRA MEDICAL CENTERS",1.458762926
"862",110164,"COLISEUM MEDICAL CENTER",1.703867661
"863",110165,"SOUTHERN REGIONAL MEDICAL CENTER",1.540557033
"864",110168,"REDMOND REGIONAL MEDICAL CENTER",1.835572435
"865",110177,"DOCTORS HOSPITAL",1.933180163
"866",110183,"EMORY-ADVENTIST HOSPITAL",1.236828417
"867",110184,"WELLSTAR DOUGLAS HOSPITAL",1.352905683
"868",110186,"DOCTORS HOSPITAL",1.315036781
"869",110187,"CHESTATEE REGIONAL HOSPITAL",1.347166824
"870",110189,"FANNIN REGIONAL HOSPITAL",1.188229589
"871",110190,"FLINT RIVER HOSPITAL",1.054676767
"872",110191,"""HENRY MEDICAL CENTER, INC""",1.547303677
"873",110192,"EMORY EASTSIDE MEDICAL CENTER",1.515125009
"874",110194,"DONALSONVILLE HOSPITAL INC",0.856693461
"875",110198,"NORTH FULTON REGIONAL HOSPITAL",1.33332463
"876",110200,"HUGHSTON HOSPITAL",2.976320404
"877",110201,"COLISEUM NORTHSIDE HOSPITAL",1.654802638
"878",110203,"WESLEY WOODS GERIATRIC HOSPITAL",0.936684741
"879",110205,"NORTH GEORGIA MEDICAL CENTER",1.122459193
"880",110209,"TURNING POINT HOSPITAL",1.150719799
"881",110215,"PIEDMONT FAYETTE HOSPITAL",1.538249959
"882",110219,"SOUTH FULTON MEDICAL CENTER",1.378343083
"883",110225,"PIEDMONT MOUNTAINSIDE HOSPITAL INC",1.374358621
"884",110226,"DEKALB MEDICAL CENTER AT HILLANDALE",1.22140717
"885",110229,"""PIEDMONT NEWNAN HOSPITAL, INC""",1.458372496
"886",110230,"EMORY JOHNS CREEK HOSPITAL",1.49882459
"887",120001,"THE QUEENS MEDICAL CENTER",1.973581337
"888",120002,"MAUI MEMORIAL MEDICAL CENTER",1.564389505
"889",120004,"WAHIAWA GENERAL HOSPITAL",1.351798398
"890",120005,"HILO MEDICAL CENTER",1.328943345
"891",120006,"CASTLE MEDICAL CENTER",1.57828969
"892",120007,"KUAKINI MEDICAL CENTER",1.743135345
"893",120010,"HAWAII MEDICAL CENTER EAST",2.112837836
"894",120011,"KAISER FOUNDATION HOSPITAL",1.720890774
"895",120014,"WILCOX MEMORIAL HOSPITAL",1.369017071
"896",120019,"KONA COMMUNITY HOSPITAL",1.265819185
"897",120022,"STRAUB CLINIC AND HOSPITAL",1.874351275
"898",120026,"PALI MOMI MEDICAL CENTER",1.673586897
"899",120027,"HAWAII MEDICAL CENTER WEST",1.446205938
"900",120028,"NORTH HAWAII COMMUNITY HOSPITAL",1.327642165
"901",130002,"ST LUKES MAGIC VALLEY RMC",1.544463
"902",130003,"ST JOSEPH REGIONAL MEDICAL CENTER",1.80285344
"903",130006,"ST LUKES REGIONAL MEDICAL CENTER",1.78584328
"904",130007,"ST ALPHONSUS REGIONAL MEDICAL CENTER",1.966755008
"905",130013,"SAINT ALPHONSUS MEDICAL CENTER - NAMPA",1.428346021
"906",130014,"WEST VALLEY MEDICAL CENTER",1.372535365
"907",130018,"EASTERN IDAHO REGIONAL MEDICAL CENTER",1.634535748
"908",130025,"MADISON MEMORIAL HOSPITAL",1.595769672
"909",130028,"PORTNEUF MEDICAL CENTER",1.791957246
"910",130049,"KOOTENAI MEDICAL CENTER",1.808028706
"911",130063,"TREASURE VALLEY HOSPITAL",2.692934615
"912",130065,"MOUNTAIN VIEW HOSPITAL",2.131399191
"913",130066,"NORTHWEST SPECIALTY HOSPITAL",2.565455615
"914",130067,"IDAHO DOCTORS HOSPITAL",2.334434593
"915",140001,"GRAHAM HOSPITAL ASSOCIATION",1.096662259
"916",140002,"ALTON MEMORIAL HOSPITAL",1.452613025
"917",140007,"PROVENA ST JOSEPH MEDICAL CENTER",1.47604218
"918",140008,"LOYOLA GOTTLIEB MEMORIAL HOSPITAL",1.471593001
"919",140010,"EVANSTON HOSPITAL",1.612207774
"920",140011,"HERRIN HOSPITAL",1.323170332
"921",140012,"KATHERINE SHAW BETHEA HOSPITAL",1.230017385
"922",140013,"PROCTOR HOSPITAL",1.547211579
"923",140015,"BLESSING HOSPITAL",1.462653166
"924",140018,"MT SINAI HOSPITAL MEDICAL CENTER",1.491433268
"925",140019,"SHELBY MEMORIAL HOSPITAL",0.925460308
"926",140026,"ST MARYS HOSPITAL",1.331540619
"927",140029,"COPLEY MEMORIAL HOSPITAL",1.62518184
"928",140030,"SHERMAN HOSPITAL",1.543079954
"929",140032,"ST ANTHONYS MEMORIAL HOSPITAL",1.389518435
"930",140034,"ST MARYS HOSPITAL",1.185966161
"931",140040,"GALESBURG COTTAGE HOSPITAL",1.359658452
"932",140043,"CGH MEDICAL CENTER",1.322600914
"933",140046,"GOOD SAMARITAN REGIONAL HLTH CENTER",1.582646568
"934",140048,"ADVOCATE TRINITY HOSPITAL",1.404452852
"935",140049,"WEST SUBURBAN MEDICAL CENTER",1.52553808
"936",140051,"SKOKIE HOSPITAL",1.599378299
"937",140052,"SAINT ANTHONY'S HEALTH CENTER",1.5152262
"938",140053,"ST JOHNS HOSPITAL",1.928776315
"939",140054,"MACNEAL  HOSPITAL",1.571992987
"940",140058,"PASSAVANT AREA HOSPITAL",1.277574641
"941",140059,"JERSEY COMMUNITY HOSPITAL",0.977805418
"942",140062,"PALOS COMMUNITY HOSPITAL",1.500409499
"943",140063,"RUSH OAK PARK HOSPITAL",1.507901216
"944",140064,"ST MARY MEDICAL CENTER",1.285677443
"945",140065,"ADVENTIST LA GRANGE MEMORIAL HOSPITAL",1.496278824
"946",140067,"SAINT FRANCIS MEDICAL CENTER",1.834712351
"947",140068,"ROSELAND COMMUNITY HOSPITAL",1.154555165
"948",140077,"TOUCHETTE REGIONAL HOSPITAL INC",1.097600551
"949",140080,"RHC ST FRANCIS HOSPITAL",1.545543507
"950",140082,"LOUIS A WEISS MEMORIAL HOSPITAL",1.695357864
"951",140083,"LORETTO HOSPITAL",1.226129606
"952",140084,"VISTA MEDICAL CENTER EAST",1.349548728
"953",140088,"THE UNIVERSITY OF CHICAGO MEDICAL CENTER",2.163869418
"954",140089,"MC DONOUGH DISTRICT HOSPITAL",1.156240462
"955",140091,"CARLE FOUNDATION HOSPITAL",1.824442557
"956",140093,"PROVENA UNITED SAMARITANS MEDCTR-LOGAN",1.221988915
"957",140095,"SAINT ANTHONY HOSPITAL",1.309394816
"958",140100,"MIDWESTERN REGION MED CENTER",1.659555092
"959",140101,"MORRIS HOSPITAL & HEALTHCARE CENTERS",1.29457684
"960",140103,"ST BERNARD HOSPITAL",1.192557986
"961",140110,"OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER",1.164986631
"962",140113,"PROVENA COVENANT MEDICAL CENTER- URBANA",1.464855711
"963",140114,"SWEDISH COVENANT HOSPITAL",1.537278094
"964",140115,"THOREK MEMORIAL HOSPITAL",1.17166352
"965",140116,"CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL",1.530389452
"966",140117,"RESURRECTION MEDICAL CENTER",1.762963438
"967",140118,"METROSOUTH MEDICAL CENTER",1.519190263
"968",140119,"RUSH UNIVERSITY MEDICAL CENTER",1.957419857
"969",140120,"PEKIN MEMORIAL HOSPITAL",1.197234319
"970",140122,"HINSDALE HOSPITAL",1.572454072
"971",140124,"JOHN H STROGER JR HOSPITAL",1.314257803
"972",140125,"GATEWAY REGIONAL MEDICAL CENTER",1.205109023
"973",140127,"BROMENN HEALTHCARE",1.465821765
"974",140130,"LAKE FOREST HOSPITAL",1.327009999
"975",140133,"HOLY CROSS HOSPITAL",1.36621859
"976",140135,"DECATUR MEMORIAL HOSPITAL",1.473814534
"977",140137,"GREENVILLE REGIONAL HOSPITAL",1.227087193
"978",140143,"ST MARGARETS HOSPITAL",1.156229784
"979",140145,"ST JOSEPHS HOSPITAL",1.219441162
"980",140147,"RICHLAND MEMORIAL HOSPITAL",1.01474097
"981",140148,"MEMORIAL MEDICAL CENTER",1.729629922
"982",140150,"UNIVERSITY OF ILLINOIS HOSPITAL",1.827308517
"983",140151,"SACRED HEART HOSPITAL",1.098568547
"984",140155,"PROVENA ST MARYS HOSPITAL",1.394331706
"985",140158,"MERCY HOSPITAL AND MEDICAL CENTER",1.496261407
"986",140160,"FHN MEMORIAL HOSPITAL",1.280974611
"987",140161,"SAINT JAMES HOSPITAL",1.337392544
"988",140162,"ST JOSEPH MEDICAL CENTER",1.611329669
"989",140164,"MEMORIAL HOSPITAL OF CARBONDALE",1.729387607
"990",140166,"ST MARYS HOSPITAL",1.411810782
"991",140167,"IROQUOIS MEMORIAL HOSPITAL",1.370479763
"992",140172,"ST JAMES HOSP & HLTH CTR-OLYMPIA FLDS",1.355521024
"993",140174,"PROVENA MERCY MEDICAL CENTER",1.57867242
"994",140176,"CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL",1.372653716
"995",140177,"JACKSON PARK HOSPITAL",1.07794249
"996",140179,"LITTLE COMPANY OF MARY HOSPITAL",1.516989498
"997",140180,"ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS",1.366712028
"998",140181,"SOUTH SHORE HOSPITAL",1.230334211
"999",140182,"ADVOCATE ILLINOIS MASONIC MEDICAL CENTER",1.398057839
"1000",140184,"HEARTLAND REGIONAL MEDICAL CENTER",1.477605674
"1001",140185,"MEMORIAL HOSPITAL",1.525350818
"1002",140186,"RIVERSIDE MEDICAL CENTER",1.598273125
"1003",140187,"ST ELIZABETH HOSPITAL",1.585886789
"1004",140189,"SARAH BUSH LINCOLN HEALTH CENTER",1.29194544
"1005",140191,"INGALLS MEMORIAL HOSPITAL",1.391466225
"1006",140197,"METHODIST HOSPITAL OF CHICAGO",1.076643744
"1007",140200,"ELMHURST MEMORIAL HOSPITAL",1.62558023
"1008",140202,"ADVOCATE CONDELL MEDICAL CENTER",1.471137968
"1009",140206,"NORWEGIAN-AMERICAN HOSPITAL",1.172989069
"1010",140208,"ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER",1.854127489
"1011",140209,"METHODIST MEDICAL CENTER OF ILLINOIS",1.566673145
"1012",140210,"HARRISBURG MEDICAL CENTER",1.074106398
"1013",140211,"DELNOR COMMUNITY HOSPITAL",1.352010862
"1014",140213,"SILVER CROSS HOSPITAL",1.348288231
"1015",140217,"PROVENA - SAINT JOSEPH HOSPITAL",1.567199681
"1016",140223,"ADVOCATE LUTHERAN GENERAL HOSPITAL",1.661263877
"1017",140224,"SAINT JOSEPH HOSPITAL",1.42822032
"1018",140228,"SWEDISH AMERICAN HOSPITAL",1.479704084
"1019",140231,"EDWARD HOSPITAL",1.587336884
"1020",140233,"SAINT ANTHONY MEDICAL CENTER",1.738986384
"1021",140234,"ILLINOIS VALLEY COMMUNITY HOSPITAL",1.174306515
"1022",140239,"ROCKFORD MEMORIAL HOSPITAL",1.647664491
"1023",140240,"WESTLAKE COMMUNITY HOSPITAL",1.531282563
"1024",140242,"CENTRAL DUPAGE HOSPITAL",1.654084757
"1025",140250,"ADVOCATE SOUTH SUBURBAN HOSPITAL",1.469494589
"1026",140251,"OUR LADY OF THE RESURRECTION MED CTR",1.502484027
"1027",140252,"NORTHWEST COMMUNITY HOSPITAL",1.570001615
"1028",140258,"ALEXIAN BROTHERS MEDICAL CENTER",1.71437734
"1029",140275,"GENESIS MEDICAL CENTER ILLINI CAMPUS",1.47144785
"1030",140276,"LOYOLA UNIVERSITY MEDICAL CENTER",1.995367076
"1031",140280,"TRINITY ROCK ISLAND",1.628025475
"1032",140281,"NORTHWESTERN MEMORIAL HOSPITAL",1.884998711
"1033",140286,"KISHWAUKEE COMMUNITY HOSPITAL",1.345619773
"1034",140288,"ADVOCATE GOOD SAMARITAN HOSPITAL",1.564661864
"1035",140289,"ANDERSON HOSPITAL",1.455222078
"1036",140290,"ST ALEXIUS MEDICAL CENTER",1.498184094
"1037",140291,"ADVOCATE GOOD SHEPHERD HOSPITAL",1.653077043
"1038",140292,"ADVENTIST GLENOAKS",1.375100984
"1039",140294,"CROSSROADS COMMUNITY HOSPITAL",1.207073721
"1040",140300,"PROVIDENT HOSPITAL OF CHICAGO",0.780161219
"1041",140304,"ADVENTIST BOLINGBROOK HOSPITAL",1.43524304
"1042",150001,"JOHNSON MEMORIAL HOSPITAL",1.357331142
"1043",150002,"""METHODIST HOSPITALS, INC""",1.514977205
"1044",150003,"ST ELIZABETH CENTRAL",1.197703853
"1045",150004,"ST MARGARET MERCY HEALTHCARE CENTERS",1.514661173
"1046",150005,"HENDRICKS REGIONAL HEALTH",1.334317639
"1047",150006,"LAPORTE HOSPITAL AND HEALTH SERVICES",1.517784473
"1048",150007,"HOWARD REGIONAL HEALTH SYSTEM",1.616151172
"1049",150008,"ST CATHERINE HOSPITAL INC",1.417497639
"1050",150009,"CLARK MEMORIAL HOSPITAL",1.427050978
"1051",150010,"ST JOSEPH HOSPITAL & HEALTH CENTER INC",1.591105241
"1052",150011,"MARION GENERAL HOSPITAL",1.298211939
"1053",150012,"SAINT JOSEPH REGIONAL MEDICAL CENTER",1.563006464
"1054",150015,"ST ANTHONY MEMORIAL HEALTH CENTERS",1.351923668
"1055",150017,"LUTHERAN HOSPITAL OF INDIANA",1.737743437
"1056",150018,"ELKHART GENERAL HOSPITAL",1.559197881
"1057",150021,"PARKVIEW HOSPITAL",1.700632716
"1058",150022,"ST CLARE MEDICAL CENTER",1.126293033
"1059",150023,"UNION HOSPITAL INC",1.551961232
"1060",150024,"WILLIAM N WISHARD MEMORIAL HOSPITAL",1.603954033
"1061",150026,"GOSHEN GENERAL HOSPITAL",1.38659384
"1062",150030,"HENRY COUNTY MEMORIAL HOSPITAL",1.22362994
"1063",150033,"ST FRANCIS HOSPITAL AND HEALTH CENTERS",1.523261929
"1064",150034,"ST MARY MEDICAL CENTER INC",1.441621535
"1065",150035,"""PORTER, VALPARAISO HOSPITAL""",1.53976834
"1066",150037,"HANCOCK REGIONAL HOSPITAL",1.496181192
"1067",150038,"MORGAN HOSPITAL AND MEDICAL CENTER",1.161123959
"1068",150042,"GOOD SAMARITAN HOSPITAL",1.506032086
"1069",150044,"FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES",1.6195802
"1070",150045,"DEKALB MEMORIAL HOSPITAL INC",1.051195712
"1071",150046,"TERRE HAUTE REGIONAL HOSPITAL",1.611480946
"1072",150047,"ST JOSEPH HOSPITAL",1.586193416
"1073",150048,"REID HOSPITAL & HEALTH CARE SERVICES",1.583117716
"1074",150051,"BLOOMINGTON HOSPITAL",1.613908663
"1075",150056,"CLARIAN HEALTH PARTNERS INC D/B/A METHODIST IU RIL",2.038705983
"1076",150057,"ST FRANCIS HOSPITAL MOORESVILLE",1.916425852
"1077",150058,"MEMORIAL HOSPITAL OF SOUTH BEND",1.569729591
"1078",150059,"RIVERVIEW HOSPITAL",1.546797875
"1079",150061,"DAVIESS COMMUNITY HOSPITAL",1.140919844
"1080",150064,"FAYETTE REGIONAL HEALTH SYSTEM",1.188358408
"1081",150065,"SCHNECK MEDICAL CENTER",1.405723202
"1082",150069,"""KING'S DAUGHTERS' HOSPITAL AND HEALTH SERVICES,THE""",1.227854425
"1083",150072,"MEMORIAL HOSPITAL",1.202992051
"1084",150074,"COMMUNITY HOSPITAL EAST",1.437909597
"1085",150075,"BLUFFTON REGIONAL MEDICAL CENTER",1.066855686
"1086",150076,"SAINT JOSEPH'S REGIONAL MEDICAL CENTER - PLYMOUTH",1.350402821
"1087",150082,"DEACONESS HOSPITAL INC",1.488583538
"1088",150084,"ST VINCENT HOSPITAL & HEALTH SERVICES",1.890800783
"1089",150086,"DEARBORN COUNTY HOSPITAL",1.309956823
"1090",150088,"SAINT JOHN'S HEALTH SYSTEM",1.369556957
"1091",150089,"BALL MEMORIAL HOSPITAL INC",1.552424164
"1092",150090,"ST MARGARET MERCY HEALTHCARE CENTERS",1.494382552
"1093",150091,"PARKVIEW HUNTINGTON HOSPITAL",1.085852802
"1094",150097,"MAJOR HOSPITAL",1.255007332
"1095",150100,"ST MARY'S MEDICAL CENTER OF EVANSVILLE INC",1.65955668
"1096",150101,"PARKVIEW WHITLEY HOSPITAL",1.085085766
"1097",150102,"STARKE MEMORIAL HOSPITAL",1.087406488
"1098",150104,"WITHAM HEALTH SERVICES",1.152360438
"1099",150109,"ST ELIZABETH EAST",1.892800877
"1100",150112,"COLUMBUS REGIONAL HOSPITAL",1.514240853
"1101",150113,"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY",1.436581252
"1102",150115,"MEMORIAL HOSPITAL AND HEALTH CARE CENTER",1.571904579
"1103",150125,"COMMUNITY HOSPITAL",1.513328562
"1104",150126,"SAINT ANTHONY",1.435583784
"1105",150128,"COMMUNITY HOSPITAL SOUTH",1.560984425
"1106",150129,"WESTVIEW HOSPITAL",1.330552168
"1107",150133,"KOSCIUSKO COMMUNITY HOSPITAL",1.115793933
"1108",150146,"PARKVIEW NOBLE HOSPITAL",1.036632573
"1109",150149,"WOMEN'S HOSPITAL THE",1.216531415
"1110",150150,"DUPONT HOSPITAL LLC",1.334158647
"1111",150153,"ST VINCENT HEART CENTER OF INDIANA LLC",2.389142853
"1112",150154,"""INDIANA HEART HOSPITAL, THE""",2.498469002
"1113",150157,"ST VINCENT CARMEL HOSPITAL INC",1.797932498
"1114",150158,"INDIANA UNIVERSITY HEALTH WEST HOSPITAL",1.301860155
"1115",150160,"INDIANA ORTHOPAEDIC HOSPITAL LLC",2.349228594
"1116",150161,"INDIANA UNIVERSITY HEALTH NORTH HOSPITAL",1.59934827
"1117",150162,"ST FRANCIS HOSPITAL AND HEALTH CENTERS-INDIANAPOLI",1.644343374
"1118",150163,"SAINT CATHERINE REGIONAL HOSPITAL",0.878577353
"1119",150164,"MONROE HOSPITAL",1.435527505
"1120",150165,"FRANCISCAN PHYSICIANS HOSPITAL LLC",1.480829733
"1121",150166,"PINNACLE HOSPITAL",1.389522693
"1122",150167,"ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC",2.498959959
"1123",150168,"THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR",2.410015668
"1124",150169,"COMMUNITY HOSPITAL NORTH",1.589978304
"1125",150172,"PHYSICIANS' MEDICAL CENTER LLC",1.389827065
"1126",150173,"CLARIAN-ARNETT HEALTH SYSTEM INC",1.597062239
"1127",150175,"THE HEART HOSPITAL AT DEACONESS GATEWAY LLC",2.18618833
"1128",150176,"KENTUCKIANA MEDICAL CENTER LLC",2.093256831
"1129",150177,"UNITY MEDICAL AND SURGICAL HOSPITAL",1.148274424
"1130",150179,NA,1.089705313
"1131",160001,"MARSHALLTOWN MEDICAL & SURGICAL CENTER",1.370974672
"1132",160005,"ST ANTHONY REGIONAL HOSPITAL",1.417792944
"1133",160008,"KEOKUK AREA HOSPITAL",1.096255791
"1134",160013,"TRINITY MUSCATINE",1.337418716
"1135",160016,"TRINITY REGIONAL MEDICAL CENTER",1.564189299
"1136",160024,"IOWA LUTHERAN HOSPITAL",1.49104347
"1137",160028,"ALEGENT HEALTH MERCY HOSPITAL",1.431503022
"1138",160029,"MERCY HOSPITAL",1.61757037
"1139",160030,"MARY GREELEY MEDICAL CENTER",1.517830863
"1140",160032,"SKIFF MEDICAL CENTER",1.037744645
"1141",160033,"GENESIS MEDICAL CENTER-DAVENPORT",1.696203111
"1142",160040,"SARTORI MEMORIAL HOSPITAL",1.3787394
"1143",160045,"ST LUKES HOSPITAL",1.665690839
"1144",160047,"JENNIE EDMUNDSON HOSPITAL",1.434947884
"1145",160057,"GREAT RIVER MEDICAL CENTER",1.508477431
"1146",160058,"UNIVERSITY OF IOWA HOSPITAL & CLINICS",2.040435329
"1147",160064,"MERCY MEDICAL CENTER-NORTH IOWA",1.634883213
"1148",160067,"COVENANT MEDICAL CENTER",1.504088903
"1149",160069,"MERCY MEDICAL CENTER-DUBUQUE",1.627054287
"1150",160079,"MERCY MEDICAL CENTER - CEDAR RAPIDS",1.558975836
"1151",160080,"MERCY MEDICAL CENTER-CLINTON",1.333845968
"1152",160082,"IOWA METHODIST MEDICAL CENTER",1.779792497
"1153",160083,"MERCY MEDICAL CENTER-DES MOINES",1.877614055
"1154",160089,"OTTUMWA REGIONAL HEALTH CENTER",1.402285219
"1155",160101,"BROADLAWNS MEDICAL CENTER",1.077149915
"1156",160104,"TRINITY BETTENDORF",1.713380451
"1157",160110,"ALLEN MEMORIAL HOSPITAL",1.668722497
"1158",160112,"SPENCER MUNICIPAL HOSPITAL",1.411863996
"1159",160117,"THE FINLEY HOSPITAL",1.354091114
"1160",160122,"FORT MADISON COMMUNITY HOSPITAL",1.330548911
"1161",160124,"LAKES REGIONAL HEALTHCARE",1.236179495
"1162",160146,"ST LUKES REGIONAL MEDICAL CENTER",1.586227588
"1163",160147,"GRINNELL REGIONAL MEDICAL CENTER",1.224846937
"1164",160153,"MERCY MEDICAL CENTER-SIOUX CITY",1.763780399
"1165",170001,"NEWMAN REGIONAL HEALTH",1.161320544
"1166",170006,"VIA CHRISTI HOSPITAL PITTSBURG INC",1.41699906
"1167",170009,"SAINT JOHN HOSPITAL",1.061709885
"1168",170010,"MERCY HOSPITAL OF KANSAS INDEPENDENCE",1.196221286
"1169",170012,"SALINA REGIONAL HEALTH CENTER",1.729933579
"1170",170013,"HAYS MEDICAL CENTER",1.864904768
"1171",170014,"RANSOM MEMORIAL HOSPITAL",1.282471936
"1172",170016,"ST FRANCIS HEALTH CENTER",1.828860082
"1173",170017,"SUSAN B ALLEN MEMORIAL HOSPITAL",1.393499072
"1174",170020,"PROMISE REGIONAL MEDICAL CENTER HUTCHINSON INC",1.669245791
"1175",170023,"ST CATHERINE HOSPITAL",1.58518317
"1176",170027,"PRATT REGIONAL MEDICAL CENTER",1.68481706
"1177",170039,"SUMNER REGIONAL MEDICAL CENTER",0.983991568
"1178",170040,"UNIVERSITY OF KANSAS HOSPITAL",2.13026168
"1179",170049,"OLATHE MEDICAL CENTER",1.524691602
"1180",170058,"MERCY HEALTH CENTER",1.079838456
"1181",170068,"SOUTHWEST MEDICAL CENTER",1.351445792
"1182",170074,"GEARY COMMUNITY HOSPITAL",1.283890654
"1183",170075,"MERCY HOSPITAL",0.842058002
"1184",170086,"STORMONT-VAIL HEALTHCARE",1.630954182
"1185",170094,"COFFEY COUNTY HOSPITAL",1.040093459
"1186",170103,"NEWTON MEDICAL CENTER",1.551190319
"1187",170104,"SHAWNEE MISSION MEDICAL CENTER",1.470272018
"1188",170105,"MEMORIAL HOSPITAL",1.06448289
"1189",170109,"MIAMI COUNTY MEDICAL CENTER",1.262840128
"1190",170110,"BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL",0.950214273
"1191",170120,"LABETTE HEALTH",1.618479643
"1192",170122,"VIA CHRISTI HOSPITALS WICHITA INC",1.815166968
"1193",170123,"WESLEY MEDICAL CENTER",1.832257595
"1194",170133,"CUSHING MEMORIAL HOSPITAL",1.100903822
"1195",170137,"LAWRENCE MEMORIAL HOSPITAL",1.517001307
"1196",170142,"MERCY REGIONAL HEALTH CENTER",1.512000246
"1197",170145,"COFFEYVILLE REGIONAL MEDICAL CENTER",1.390869404
"1198",170146,"PROVIDENCE MEDICAL CENTER",1.615050988
"1199",170150,"SOUTH CENTRAL KS REGIONAL MED CENTER",1.15647641
"1200",170166,"MORTON COUNTY HOSPITAL",1.017667544
"1201",170175,"WESTERN PLAINS MEDICAL COMPLEX",1.260600506
"1202",170176,"OVERLAND PARK REG MED CTR",1.655563182
"1203",170182,"MENORAH MEDICAL CENTER",1.607600453
"1204",170183,"KANSAS SURGERY & RECOVERY CENTER",2.222005212
"1205",170185,"SAINT LUKE'S SOUTH HOSPITAL",1.421210221
"1206",170186,"KANSAS HEART HOSPITAL",2.555036799
"1207",170187,"SALINA SURGICAL HOSPITAL",2.064450175
"1208",170188,"KANSAS CITY ORTHOPAEDIC INSTITUTE",2.19889313
"1209",170190,"MANHATTAN SURGICAL HOSPITAL LLC",1.962417093
"1210",170191,"GREAT BEND REGIONAL HOSPITAL",1.464149246
"1211",170192,"GALICHIA HEART HOSPITAL LLC",1.808503311
"1212",170194,"DOCTORS HOSPITAL LLC",3.596059371
"1213",170195,"HEARTLAND SURGICAL SPEC HOSPITAL",2.915476624
"1214",170196,"KANSAS SPINE HOSPITAL LLC",2.90648883
"1215",170197,"KANSAS MEDICAL CENTER LLC",2.19666517
"1216",170198,"SUMMIT SURGICAL LLC",2.108758841
"1217",170199,NA,1.601851306
"1218",170200,"VIA CHRISTI HOSPITAL WICHITA ST TERESA INC",1.206427965
"1219",170202,NA,1.67640192
"1220",180001,"ST ELIZABETH FT THOMAS",1.290122971
"1221",180002,"WHITESBURG ARH HOSPITAL",0.985581698
"1222",180004,"MUHLENBERG COMMUNITY HOSPITAL",1.131628412
"1223",180005,"HIGHLANDS REGIONAL MEDICAL CENTER",1.193701745
"1224",180009,"KING'S DAUGHTERS' MEDICAL CENTER",1.624892167
